"arm","year","agc_Tg"
"baseline",2022,11606.75
"baseline",2032,12594.63
"baseline",2042,13753.94
"baseline",2052,15102.98
"baseline",2062,16652.9
"baseline",2072,18417.8
"baseline",2082,20389.73
"baseline",2092,22678.63
"baseline",2102,25513.1
"baseline",2112,29123.37
"baseline",2122,33490.17
"mort_1p5x",2022,11606.75
"mort_1p5x",2032,12341.29
"mort_1p5x",2042,13236.28
"mort_1p5x",2052,14295.65
"mort_1p5x",2062,15521.63
"mort_1p5x",2072,16917.49
"mort_1p5x",2082,18491.64
"mort_1p5x",2092,20245.64
"mort_1p5x",2102,22373.04
"mort_1p5x",2112,25085.14
"mort_1p5x",2122,28582.38
"mort_2x",2022,11606.75
"mort_2x",2032,12095.71
"mort_2x",2042,12748.27
"mort_2x",2052,13551.99
"mort_2x",2062,14499.42
"mort_2x",2072,15583.79
"mort_2x",2082,16815.52
"mort_2x",2092,18164.7
"mort_2x",2102,19713.44
"mort_2x",2112,21662.35
"mort_2x",2122,24206.53
