"state","scenario","year_offset","removed_cum_Tg"
"AL","reserve (no harvest)",0,0
"AL","reserve (no harvest)",10,0
"AL","reserve (no harvest)",20,0
"AL","reserve (no harvest)",30,0
"AL","reserve (no harvest)",40,0
"AL","reserve (no harvest)",50,0
"AL","reserve (no harvest)",60,0
"AL","reserve (no harvest)",70,0
"AL","reserve (no harvest)",80,0
"AL","reserve (no harvest)",90,0
"AL","reserve (no harvest)",100,0
"AR","reserve (no harvest)",0,0
"AR","reserve (no harvest)",10,0
"AR","reserve (no harvest)",20,0
"AR","reserve (no harvest)",30,0
"AR","reserve (no harvest)",40,0
"AR","reserve (no harvest)",50,0
"AR","reserve (no harvest)",60,0
"AR","reserve (no harvest)",70,0
"AR","reserve (no harvest)",80,0
"AR","reserve (no harvest)",90,0
"AR","reserve (no harvest)",100,0
"AZ","reserve (no harvest)",0,0
"AZ","reserve (no harvest)",10,0
"AZ","reserve (no harvest)",20,0
"AZ","reserve (no harvest)",30,0
"AZ","reserve (no harvest)",40,0
"AZ","reserve (no harvest)",50,0
"AZ","reserve (no harvest)",60,0
"AZ","reserve (no harvest)",70,0
"AZ","reserve (no harvest)",80,0
"AZ","reserve (no harvest)",90,0
"AZ","reserve (no harvest)",100,0
"CA","reserve (no harvest)",0,0
"CA","reserve (no harvest)",10,0
"CA","reserve (no harvest)",20,0
"CA","reserve (no harvest)",30,0
"CA","reserve (no harvest)",40,0
"CA","reserve (no harvest)",50,0
"CA","reserve (no harvest)",60,0
"CA","reserve (no harvest)",70,0
"CA","reserve (no harvest)",80,0
"CA","reserve (no harvest)",90,0
"CA","reserve (no harvest)",100,0
"CO","reserve (no harvest)",0,0
"CO","reserve (no harvest)",10,0
"CO","reserve (no harvest)",20,0
"CO","reserve (no harvest)",30,0
"CO","reserve (no harvest)",40,0
"CO","reserve (no harvest)",50,0
"CO","reserve (no harvest)",60,0
"CO","reserve (no harvest)",70,0
"CO","reserve (no harvest)",80,0
"CO","reserve (no harvest)",90,0
"CO","reserve (no harvest)",100,0
"CT","reserve (no harvest)",0,0
"CT","reserve (no harvest)",10,0
"CT","reserve (no harvest)",20,0
"CT","reserve (no harvest)",30,0
"CT","reserve (no harvest)",40,0
"CT","reserve (no harvest)",50,0
"CT","reserve (no harvest)",60,0
"CT","reserve (no harvest)",70,0
"CT","reserve (no harvest)",80,0
"CT","reserve (no harvest)",90,0
"CT","reserve (no harvest)",100,0
"DE","reserve (no harvest)",0,0
"DE","reserve (no harvest)",10,0
"DE","reserve (no harvest)",20,0
"DE","reserve (no harvest)",30,0
"DE","reserve (no harvest)",40,0
"DE","reserve (no harvest)",50,0
"DE","reserve (no harvest)",60,0
"DE","reserve (no harvest)",70,0
"DE","reserve (no harvest)",80,0
"DE","reserve (no harvest)",90,0
"DE","reserve (no harvest)",100,0
"FL","reserve (no harvest)",0,0
"FL","reserve (no harvest)",10,0
"FL","reserve (no harvest)",20,0
"FL","reserve (no harvest)",30,0
"FL","reserve (no harvest)",40,0
"FL","reserve (no harvest)",50,0
"FL","reserve (no harvest)",60,0
"FL","reserve (no harvest)",70,0
"FL","reserve (no harvest)",80,0
"FL","reserve (no harvest)",90,0
"FL","reserve (no harvest)",100,0
"GA","reserve (no harvest)",0,0
"GA","reserve (no harvest)",10,0
"GA","reserve (no harvest)",20,0
"GA","reserve (no harvest)",30,0
"GA","reserve (no harvest)",40,0
"GA","reserve (no harvest)",50,0
"GA","reserve (no harvest)",60,0
"GA","reserve (no harvest)",70,0
"GA","reserve (no harvest)",80,0
"GA","reserve (no harvest)",90,0
"GA","reserve (no harvest)",100,0
"IA","reserve (no harvest)",0,0
"IA","reserve (no harvest)",10,0
"IA","reserve (no harvest)",20,0
"IA","reserve (no harvest)",30,0
"IA","reserve (no harvest)",40,0
"IA","reserve (no harvest)",50,0
"IA","reserve (no harvest)",60,0
"IA","reserve (no harvest)",70,0
"IA","reserve (no harvest)",80,0
"IA","reserve (no harvest)",90,0
"IA","reserve (no harvest)",100,0
"ID","reserve (no harvest)",0,0
"ID","reserve (no harvest)",10,0
"ID","reserve (no harvest)",20,0
"ID","reserve (no harvest)",30,0
"ID","reserve (no harvest)",40,0
"ID","reserve (no harvest)",50,0
"ID","reserve (no harvest)",60,0
"ID","reserve (no harvest)",70,0
"ID","reserve (no harvest)",80,0
"ID","reserve (no harvest)",90,0
"ID","reserve (no harvest)",100,0
"IL","reserve (no harvest)",0,0
"IL","reserve (no harvest)",10,0
"IL","reserve (no harvest)",20,0
"IL","reserve (no harvest)",30,0
"IL","reserve (no harvest)",40,0
"IL","reserve (no harvest)",50,0
"IL","reserve (no harvest)",60,0
"IL","reserve (no harvest)",70,0
"IL","reserve (no harvest)",80,0
"IL","reserve (no harvest)",90,0
"IL","reserve (no harvest)",100,0
"IN","reserve (no harvest)",0,0
"IN","reserve (no harvest)",10,0
"IN","reserve (no harvest)",20,0
"IN","reserve (no harvest)",30,0
"IN","reserve (no harvest)",40,0
"IN","reserve (no harvest)",50,0
"IN","reserve (no harvest)",60,0
"IN","reserve (no harvest)",70,0
"IN","reserve (no harvest)",80,0
"IN","reserve (no harvest)",90,0
"IN","reserve (no harvest)",100,0
"KS","reserve (no harvest)",0,0
"KS","reserve (no harvest)",10,0
"KS","reserve (no harvest)",20,0
"KS","reserve (no harvest)",30,0
"KS","reserve (no harvest)",40,0
"KS","reserve (no harvest)",50,0
"KS","reserve (no harvest)",60,0
"KS","reserve (no harvest)",70,0
"KS","reserve (no harvest)",80,0
"KS","reserve (no harvest)",90,0
"KS","reserve (no harvest)",100,0
"KY","reserve (no harvest)",0,0
"KY","reserve (no harvest)",10,0
"KY","reserve (no harvest)",20,0
"KY","reserve (no harvest)",30,0
"KY","reserve (no harvest)",40,0
"KY","reserve (no harvest)",50,0
"KY","reserve (no harvest)",60,0
"KY","reserve (no harvest)",70,0
"KY","reserve (no harvest)",80,0
"KY","reserve (no harvest)",90,0
"KY","reserve (no harvest)",100,0
"LA","reserve (no harvest)",0,0
"LA","reserve (no harvest)",10,0
"LA","reserve (no harvest)",20,0
"LA","reserve (no harvest)",30,0
