"scenario","HL_saw","HL_pulp","LF_FRAC","HL_lf","DF","net_stock_d","net_subst_d"
"managed (conservation)",25,2,0.15,50,0,2279,2279
"managed (conservation)",35,2,0.15,50,0,2571,2571
"managed (conservation)",50,2,0.15,50,0,2887,2887
"managed (conservation)",25,4,0.15,50,0,2316,2316
"managed (conservation)",35,4,0.15,50,0,2608,2608
"managed (conservation)",50,4,0.15,50,0,2924,2924
"managed (conservation)",25,2,0.3,50,0,2683,2683
"managed (conservation)",35,2,0.3,50,0,2947,2947
"managed (conservation)",50,2,0.3,50,0,3229,3229
"managed (conservation)",25,4,0.3,50,0,2719,2719
"managed (conservation)",35,4,0.3,50,0,2982,2982
"managed (conservation)",50,4,0.3,50,0,3265,3265
"managed (conservation)",25,2,0.5,50,0,3222,3222
"managed (conservation)",35,2,0.5,50,0,3447,3447
"managed (conservation)",50,2,0.5,50,0,3685,3685
"managed (conservation)",25,4,0.5,50,0,3256,3256
"managed (conservation)",35,4,0.5,50,0,3481,3481
"managed (conservation)",50,4,0.5,50,0,3719,3719
"managed (conservation)",25,2,0.15,100,0,2375,2375
"managed (conservation)",35,2,0.15,100,0,2659,2659
"managed (conservation)",50,2,0.15,100,0,2967,2967
"managed (conservation)",25,4,0.15,100,0,2410,2410
"managed (conservation)",35,4,0.15,100,0,2695,2695
"managed (conservation)",50,4,0.15,100,0,3003,3003
"managed (conservation)",25,2,0.3,100,0,2875,2875
"managed (conservation)",35,2,0.3,100,0,3123,3123
"managed (conservation)",50,2,0.3,100,0,3389,3389
"managed (conservation)",25,4,0.3,100,0,2908,2908
"managed (conservation)",35,4,0.3,100,0,3155,3155
"managed (conservation)",50,4,0.3,100,0,3422,3422
"managed (conservation)",25,2,0.5,100,0,3542,3542
"managed (conservation)",35,2,0.5,100,0,3741,3741
"managed (conservation)",50,2,0.5,100,0,3953,3953
"managed (conservation)",25,4,0.5,100,0,3571,3571
"managed (conservation)",35,4,0.5,100,0,3769,3769
"managed (conservation)",50,4,0.5,100,0,3981,3981
"managed (conservation)",25,2,0.15,200,0,2437,2437
"managed (conservation)",35,2,0.15,200,0,2717,2717
"managed (conservation)",50,2,0.15,200,0,3019,3019
"managed (conservation)",25,4,0.15,200,0,2471,2471
"managed (conservation)",35,4,0.15,200,0,2751,2751
"managed (conservation)",50,4,0.15,200,0,3054,3054
"managed (conservation)",25,2,0.3,200,0,3000,3000
"managed (conservation)",35,2,0.3,200,0,3237,3237
"managed (conservation)",50,2,0.3,200,0,3494,3494
"managed (conservation)",25,4,0.3,200,0,3030,3030
"managed (conservation)",35,4,0.3,200,0,3268,3268
"managed (conservation)",50,4,0.3,200,0,3524,3524
"managed (conservation)",25,2,0.5,200,0,3750,3750
"managed (conservation)",35,2,0.5,200,0,3932,3932
"managed (conservation)",50,2,0.5,200,0,4126,4126
"managed (conservation)",25,4,0.5,200,0,3775,3775
"managed (conservation)",35,4,0.5,200,0,3956,3956
"managed (conservation)",50,4,0.5,200,0,4151,4151
