"state","year_offset","agc_Tg","area_Mha"
"AL",0,401.146,8.3083
"AL",10,497.568,8.3083
"AL",20,569.415,8.3083
"AL",30,619.848,8.3083
"AL",40,650.118,8.3083
"AL",50,664.718,8.3083
"AL",60,665.958,8.3083
"AL",70,657.559,8.3083
"AL",80,640.924,8.3083
"AL",90,616.025,8.3083
"AL",100,586.9,8.3083
"AR",0,368.767,6.8015
"AR",10,425.334,6.8015
"AR",20,468.556,6.8015
"AR",30,494.541,6.8015
"AR",40,501.162,6.8015
"AR",50,492.339,6.8015
"AR",60,475.673,6.8015
"AR",70,458.021,6.8015
"AR",80,438.228,6.8015
"AR",90,413.288,6.8015
"AR",100,392.606,6.8015
"AZ",0,126.122,6.7424
"AZ",10,132.298,6.7424
"AZ",20,137.319,6.7424
"AZ",30,141.197,6.7424
"AZ",40,144.131,6.7424
"AZ",50,146.28,6.7424
"AZ",60,147.755,6.7424
"AZ",70,148.72,6.7424
"AZ",80,149.282,6.7424
"AZ",90,149.49,6.7424
"AZ",100,149.435,6.7424
"CA",0,664.153,7.2352
"CA",10,704.451,7.2352
"CA",20,737.672,7.2352
"CA",30,764.465,7.2352
"CA",40,785.981,7.2352
"CA",50,803.096,7.2352
"CA",60,817.334,7.2352
"CA",70,828.848,7.2352
"CA",80,838.114,7.2352
"CA",90,845.579,7.2352
"CA",100,850.924,7.2352
"CO",0,297.696,8.5523
"CO",10,316.194,8.5523
"CO",20,332.376,8.5523
"CO",30,345.39,8.5523
"CO",40,354.113,8.5523
"CO",50,358.216,8.5523
"CO",60,359.312,8.5523
"CO",70,357.325,8.5523
"CO",80,353.924,8.5523
"CO",90,349.696,8.5523
"CO",100,344.828,8.5523
"CT",0,25.338,0.3392
"CT",10,26.212,0.3392
"CT",20,26.707,0.3392
"CT",30,26.877,0.3392
"CT",40,26.784,0.3392
"CT",50,26.621,0.3392
"CT",60,26.4,0.3392
"CT",70,26.16,0.3392
"CT",80,25.912,0.3392
"CT",90,25.665,0.3392
"CT",100,25.424,0.3392
"DE",0,26.548,0.383
"DE",10,28.599,0.383
"DE",20,30.422,0.383
"DE",30,32.101,0.383
"DE",40,33.636,0.383
"DE",50,35.047,0.383
"DE",60,36.362,0.383
"DE",70,37.584,0.383
"DE",80,38.673,0.383
"DE",90,39.698,0.383
"DE",100,40.663,0.383
"FL",0,222.93,5.5251
"FL",10,257.261,5.5251
"FL",20,277.879,5.5251
"FL",30,282.209,5.5251
"FL",40,281.485,5.5251
"FL",50,276.957,5.5251
"FL",60,263.851,5.5251
"FL",70,241.603,5.5251
"FL",80,222.561,5.5251
"FL",90,209.132,5.5251
"FL",100,199.029,5.5251
"GA",0,298.542,6.5126
"GA",10,369.973,6.5126
"GA",20,426.702,6.5126
"GA",30,467.726,6.5126
"GA",40,493.785,6.5126
"GA",50,501.612,6.5126
"GA",60,486.959,6.5126
"GA",70,457.951,6.5126
"GA",80,420.554,6.5126
"GA",90,384.197,6.5126
"GA",100,353.633,6.5126
"IA",0,45.283,0.8344
"IA",10,48.962,0.8344
"IA",20,51.189,0.8344
"IA",30,51.821,0.8344
"IA",40,50.935,0.8344
"IA",50,48.979,0.8344
"IA",60,46.357,0.8344
"IA",70,43.203,0.8344
"IA",80,39.899,0.8344
"IA",90,36.62,0.8344
"IA",100,33.694,0.8344
"ID",0,365.608,6.8156
"ID",10,397.176,6.8156
"ID",20,424.75,6.8156
"ID",30,446.86,6.8156
"ID",40,462.237,6.8156
"ID",50,471.181,6.8156
"ID",60,474.848,6.8156
"ID",70,472.478,6.8156
"ID",80,466.513,6.8156
"ID",90,456.95,6.8156
"ID",100,443.606,6.8156
"IL",0,99.494,1.5479
"IL",10,107.396,1.5479
"IL",20,111.558,1.5479
"IL",30,111.438,1.5479
"IL",40,106.979,1.5479
"IL",50,101.768,1.5479
"IL",60,96.211,1.5479
"IL",70,90.744,1.5479
"IL",80,85.27,1.5479
"IL",90,80.233,1.5479
"IL",100,75.65,1.5479
"IN",0,122.307,1.8174
"IN",10,132.294,1.8174
"IN",20,139.752,1.8174
"IN",30,145.5,1.8174
"IN",40,148.442,1.8174
"IN",50,147.37,1.8174
"IN",60,142.514,1.8174
"IN",70,135.685,1.8174
"IN",80,128.137,1.8174
"IN",90,120.268,1.8174
"IN",100,112.698,1.8174
"KS",0,12.779,0.3448
"KS",10,13.413,0.3448
"KS",20,13.795,0.3448
"KS",30,14.042,0.3448
"KS",40,14.164,0.3448
"KS",50,14.159,0.3448
"KS",60,13.828,0.3448
"KS",70,12.902,0.3448
"KS",80,11.935,0.3448
"KS",90,10.837,0.3448
"KS",100,9.741,0.3448
"KY",0,296.872,4.3237
"KY",10,326.684,4.3237
"KY",20,344.739,4.3237
"KY",30,348.568,4.3237
"KY",40,339.839,4.3237
"KY",50,324.846,4.3237
"KY",60,307.44,4.3237
"KY",70,289.543,4.3237
"KY",80,272.442,4.3237
"KY",90,256.656,4.3237
"KY",100,242.185,4.3237
"LA",0,235.55,4.7842
"LA",10,284.605,4.7842
"LA",20,325.369,4.7842
"LA",30,356.967,4.7842
"LA",40,379.003,4.7842
"LA",50,390.947,4.7842
"LA",60,392.373,4.7842
"LA",70,385.869,4.7842
"LA",80,372.021,4.7842
"LA",90,348.922,4.7842
"LA",100,325.443,4.7842
"MA",0,66.516,0.8231
"MA",10,71.323,0.8231
"MA",20,74.786,0.8231
"MA",30,76.905,0.8231
"MA",40,78.16,0.8231
"MA",50,78.812,0.8231
"MA",60,79.061,0.8231
"MA",70,78.778,0.8231
"MA",80,78.012,0.8231
"MA",90,76.91,0.8231
"MA",100,75.413,0.8231
"MD",0,52.638,0.6695
"MD",10,56.219,0.6695
"MD",20,58.378,0.6695
"MD",30,59.475,0.6695
"MD",40,59.701,0.6695
"MD",50,58.76,0.6695
"MD",60,55.902,0.6695
"MD",70,51.058,0.6695
"MD",80,47.145,0.6695
"MD",90,43.884,0.6695
"MD",100,41.132,0.6695
"ME",0,312.387,6.6967
"ME",10,341.198,6.6967
"ME",20,361.729,6.6967
"ME",30,377.246,6.6967
"ME",40,389.017,6.6967
"ME",50,397.248,6.6967
"ME",60,402.409,6.6967
"ME",70,406.235,6.6967
"ME",80,408.667,6.6967
"ME",90,410.172,6.6967
"ME",100,410.584,6.6967
"MI",0,384.042,7.4562
"MI",10,420.072,7.4562
"MI",20,447.507,7.4562
"MI",30,466.45,7.4562
"MI",40,477.74,7.4562
"MI",50,482.395,7.4562
"MI",60,482.05,7.4562
"MI",70,477.159,7.4562
"MI",80,467.323,7.4562
"MI",90,454.541,7.4562
"MI",100,439.201,7.4562
"MN",0,260.738,7.0989
"MN",10,287.404,7.0989
"MN",20,309.209,7.0989
"MN",30,323.962,7.0989
"MN",40,333.339,7.0989
"MN",50,338.156,7.0989
"MN",60,338.369,7.0989
"MN",70,335.318,7.0989
"MN",80,329.954,7.0989
"MN",90,322.548,7.0989
"MN",100,312.916,7.0989
"MO",0,380.676,6.77
"MO",10,404.367,6.77
"MO",20,421.929,6.77
"MO",30,433.793,6.77
"MO",40,440.646,6.77
"MO",50,443.058,6.77
"MO",60,441.797,6.77
"MO",70,437.646,6.77
"MO",80,431.896,6.77
"MO",90,425.083,6.77
"MO",100,417.601,6.77
"MS",0,316.33,6.285
"MS",10,398.882,6.285
"MS",20,462.011,6.285
"MS",30,507.923,6.285
"MS",40,540.502,6.285
"MS",50,558.952,6.285
"MS",60,563.143,6.285
"MS",70,555.202,6.285
"MS",80,539.637,6.285
"MS",90,521.274,6.285
"MS",100,502.74,6.285
"MT",0,407.364,9.0457
"MT",10,430.925,9.0457
"MT",20,450.906,9.0457
"MT",30,467.158,9.0457
"MT",40,480.005,9.0457
"MT",50,489.564,9.0457
"MT",60,495.634,9.0457
"MT",70,498.515,9.0457
"MT",80,498.857,9.0457
"MT",90,496.788,9.0457
"MT",100,493.041,9.0457
"NC",0,332.286,5.826
"NC",10,395.077,5.826
"NC",20,447.284,5.826
"NC",30,487.232,5.826
"NC",40,516.351,5.826
"NC",50,536.039,5.826
"NC",60,544.586,5.826
"NC",70,543.709,5.826
"NC",80,534.76,5.826
"NC",90,518.08,5.826
"NC",100,494.365,5.826
"ND",0,4.825,0.2935
"ND",10,5.323,0.2935
"ND",20,5.767,0.2935
"ND",30,6.162,0.2935
"ND",40,6.511,0.2935
"ND",50,6.796,0.2935
"ND",60,6.963,0.2935
"ND",70,6.965,0.2935
"ND",80,6.865,0.2935
"ND",90,6.736,0.2935
"ND",100,6.591,0.2935
"NE",0,15.941,0.4255
"NE",10,16.743,0.4255
"NE",20,17.074,0.4255
"NE",30,17.145,0.4255
"NE",40,16.716,0.4255
"NE",50,16.398,0.4255
"NE",60,16.159,0.4255
"NE",70,15.691,0.4255
"NE",80,15.366,0.4255
"NE",90,15.121,0.4255
"NE",100,14.953,0.4255
"NH",0,138.088,1.9184
"NH",10,149.809,1.9184
"NH",20,158.858,1.9184
"NH",30,165.261,1.9184
"NH",40,168.358,1.9184
"NH",50,168.741,1.9184
"NH",60,166.023,1.9184
"NH",70,161.426,1.9184
"NH",80,155.662,1.9184
"NH",90,149.317,1.9184
"NH",100,142.961,1.9184
"NJ",0,43.804,0.7759
"NJ",10,46.643,0.7759
"NJ",20,48.597,0.7759
"NJ",30,49.424,0.7759
