"arm","year","agc_Tg"
"baseline",2022,11553.67
"baseline",2032,13095.81
"baseline",2042,14440.39
"baseline",2052,15463.5
"baseline",2062,16190.39
"baseline",2072,16706.87
"baseline",2082,17073.48
"baseline",2092,17327.75
"baseline",2102,17504.62
"baseline",2112,17630.52
"baseline",2122,17722.38
"mort_1p5x",2022,11553.67
"mort_1p5x",2032,12843.26
"mort_1p5x",2042,13922.32
"mort_1p5x",2052,14681.49
"mort_1p5x",2062,15144.98
"mort_1p5x",2072,15397.98
"mort_1p5x",2082,15500.74
"mort_1p5x",2092,15496.91
"mort_1p5x",2102,15417.64
"mort_1p5x",2112,15284.27
"mort_1p5x",2122,15115.38
"mort_2x",2022,11553.67
"mort_2x",2032,12597.14
"mort_2x",2042,13431.46
"mort_2x",2052,13958.74
"mort_2x",2062,14201.91
"mort_2x",2072,14238.69
"mort_2x",2082,14133.26
"mort_2x",2092,13928.33
"mort_2x",2102,13658.4
"mort_2x",2112,13346.36
"mort_2x",2122,13011.33
