"state","scenario","product","year_offset","bio_Tg"
"AL","reserve (no harvest)","sawtimber",0,150.221
"AL","reserve (no harvest)","sawtimber",10,202.646
"AL","reserve (no harvest)","sawtimber",20,278.478
"AL","reserve (no harvest)","sawtimber",30,351.833
"AL","reserve (no harvest)","sawtimber",40,391.496
"AL","reserve (no harvest)","sawtimber",50,406.751
"AL","reserve (no harvest)","sawtimber",60,419.342
"AL","reserve (no harvest)","sawtimber",70,430.721
"AL","reserve (no harvest)","sawtimber",80,433.412
"AL","reserve (no harvest)","sawtimber",90,432.028
"AL","reserve (no harvest)","sawtimber",100,431.836
"AL","reserve (no harvest)","pulpwood",0,225.821
"AL","reserve (no harvest)","pulpwood",10,281.413
"AL","reserve (no harvest)","pulpwood",20,305.766
"AL","reserve (no harvest)","pulpwood",30,312.074
"AL","reserve (no harvest)","pulpwood",40,318.315
"AL","reserve (no harvest)","pulpwood",50,322.077
"AL","reserve (no harvest)","pulpwood",60,317.937
"AL","reserve (no harvest)","pulpwood",70,310.851
"AL","reserve (no harvest)","pulpwood",80,310.857
"AL","reserve (no harvest)","pulpwood",90,316.433
"AL","reserve (no harvest)","pulpwood",100,322.542
"AL","reserve (no harvest)","residue",0,341.95
"AL","reserve (no harvest)","residue",10,428.255
"AL","reserve (no harvest)","residue",20,472.779
"AL","reserve (no harvest)","residue",30,490.43
"AL","reserve (no harvest)","residue",40,505.077
"AL","reserve (no harvest)","residue",50,521.335
"AL","reserve (no harvest)","residue",60,532.676
"AL","reserve (no harvest)","residue",70,540.173
"AL","reserve (no harvest)","residue",80,546.534
"AL","reserve (no harvest)","residue",90,552.139
"AL","reserve (no harvest)","residue",100,558.856
"AR","reserve (no harvest)","sawtimber",0,167.64
"AR","reserve (no harvest)","sawtimber",10,216.504
"AR","reserve (no harvest)","sawtimber",20,264.236
"AR","reserve (no harvest)","sawtimber",30,304.827
"AR","reserve (no harvest)","sawtimber",40,335.762
"AR","reserve (no harvest)","sawtimber",50,346.647
"AR","reserve (no harvest)","sawtimber",60,347.719
"AR","reserve (no harvest)","sawtimber",70,345.528
"AR","reserve (no harvest)","sawtimber",80,341.157
"AR","reserve (no harvest)","sawtimber",90,341.499
"AR","reserve (no harvest)","sawtimber",100,340.932
"AR","reserve (no harvest)","pulpwood",0,199.172
"AR","reserve (no harvest)","pulpwood",10,219.55
"AR","reserve (no harvest)","pulpwood",20,230.624
"AR","reserve (no harvest)","pulpwood",30,237.534
"AR","reserve (no harvest)","pulpwood",40,241.455
"AR","reserve (no harvest)","pulpwood",50,249.442
"AR","reserve (no harvest)","pulpwood",60,258.888
"AR","reserve (no harvest)","pulpwood",70,266.043
"AR","reserve (no harvest)","pulpwood",80,271.412
"AR","reserve (no harvest)","pulpwood",90,270.501
"AR","reserve (no harvest)","pulpwood",100,268.831
"AR","reserve (no harvest)","residue",0,322.963
"AR","reserve (no harvest)","residue",10,366.917
"AR","reserve (no harvest)","residue",20,399.422
"AR","reserve (no harvest)","residue",30,420.844
"AR","reserve (no harvest)","residue",40,435.392
"AR","reserve (no harvest)","residue",50,450.131
"AR","reserve (no harvest)","residue",60,461.063
"AR","reserve (no harvest)","residue",70,468.524
"AR","reserve (no harvest)","residue",80,473.471
"AR","reserve (no harvest)","residue",90,475.487
"AR","reserve (no harvest)","residue",100,476.152
"AZ","reserve (no harvest)","sawtimber",0,28.378
"AZ","reserve (no harvest)","sawtimber",10,30.758
"AZ","reserve (no harvest)","sawtimber",20,32.055
"AZ","reserve (no harvest)","sawtimber",30,32.671
"AZ","reserve (no harvest)","sawtimber",40,33.039
"AZ","reserve (no harvest)","sawtimber",50,33.208
"AZ","reserve (no harvest)","sawtimber",60,33.455
"AZ","reserve (no harvest)","sawtimber",70,33.251
"AZ","reserve (no harvest)","sawtimber",80,32.9
"AZ","reserve (no harvest)","sawtimber",90,32.338
"AZ","reserve (no harvest)","sawtimber",100,31.664
"AZ","reserve (no harvest)","pulpwood",0,30.698
"AZ","reserve (no harvest)","pulpwood",10,31.386
"AZ","reserve (no harvest)","pulpwood",20,32.447
"AZ","reserve (no harvest)","pulpwood",30,33.282
"AZ","reserve (no harvest)","pulpwood",40,33.924
"AZ","reserve (no harvest)","pulpwood",50,34.119
"AZ","reserve (no harvest)","pulpwood",60,33.938
"AZ","reserve (no harvest)","pulpwood",70,33.802
"AZ","reserve (no harvest)","pulpwood",80,33.389
"AZ","reserve (no harvest)","pulpwood",90,32.848
"AZ","reserve (no harvest)","pulpwood",100,32.18
"AZ","reserve (no harvest)","residue",0,147.355
"AZ","reserve (no harvest)","residue",10,154.321
"AZ","reserve (no harvest)","residue",20,160.568
"AZ","reserve (no harvest)","residue",30,166.341
"AZ","reserve (no harvest)","residue",40,171.26
"AZ","reserve (no harvest)","residue",50,175.63
"AZ","reserve (no harvest)","residue",60,179.223
