"state","scenario","product","year_offset","bio_Tg"
"AL","reserve (no harvest)","sawtimber",0,149.479
"AL","reserve (no harvest)","sawtimber",10,195.228
"AL","reserve (no harvest)","sawtimber",20,262.273
"AL","reserve (no harvest)","sawtimber",30,328.473
"AL","reserve (no harvest)","sawtimber",40,363.893
"AL","reserve (no harvest)","sawtimber",50,375.765
"AL","reserve (no harvest)","sawtimber",60,382.769
"AL","reserve (no harvest)","sawtimber",70,385.677
"AL","reserve (no harvest)","sawtimber",80,375.573
"AL","reserve (no harvest)","sawtimber",90,355.461
"AL","reserve (no harvest)","sawtimber",100,332.222
"AL","reserve (no harvest)","pulpwood",0,226.3
"AL","reserve (no harvest)","pulpwood",10,271.264
"AL","reserve (no harvest)","pulpwood",20,288.623
"AL","reserve (no harvest)","pulpwood",30,292.059
"AL","reserve (no harvest)","pulpwood",40,294.936
"AL","reserve (no harvest)","pulpwood",50,292.7
"AL","reserve (no harvest)","pulpwood",60,278.49
"AL","reserve (no harvest)","pulpwood",70,257.503
"AL","reserve (no harvest)","pulpwood",80,241.191
"AL","reserve (no harvest)","pulpwood",90,227.301
"AL","reserve (no harvest)","pulpwood",100,210.614
"AL","reserve (no harvest)","residue",0,342.231
"AL","reserve (no harvest)","residue",10,411.716
"AL","reserve (no harvest)","residue",20,445.099
"AL","reserve (no harvest)","residue",30,457.153
"AL","reserve (no harvest)","residue",40,465.555
"AL","reserve (no harvest)","residue",50,471.563
"AL","reserve (no harvest)","residue",60,468.528
"AL","reserve (no harvest)","residue",70,457.202
"AL","reserve (no harvest)","residue",80,439.946
"AL","reserve (no harvest)","residue",90,415.049
"AL","reserve (no harvest)","residue",100,385.754
"AR","reserve (no harvest)","sawtimber",0,168.744
"AR","reserve (no harvest)","sawtimber",10,215.308
"AR","reserve (no harvest)","sawtimber",20,259.167
"AR","reserve (no harvest)","sawtimber",30,291.828
"AR","reserve (no harvest)","sawtimber",40,308.248
"AR","reserve (no harvest)","sawtimber",50,302.111
"AR","reserve (no harvest)","sawtimber",60,285.066
"AR","reserve (no harvest)","sawtimber",70,267.563
"AR","reserve (no harvest)","sawtimber",80,248.383
"AR","reserve (no harvest)","sawtimber",90,232.099
"AR","reserve (no harvest)","sawtimber",100,218.823
"AR","reserve (no harvest)","pulpwood",0,198.663
"AR","reserve (no harvest)","pulpwood",10,215.685
"AR","reserve (no harvest)","pulpwood",20,221.767
"AR","reserve (no harvest)","pulpwood",30,221.718
"AR","reserve (no harvest)","pulpwood",40,215.836
"AR","reserve (no harvest)","pulpwood",50,209.195
"AR","reserve (no harvest)","pulpwood",60,203.849
"AR","reserve (no harvest)","pulpwood",70,198.018
"AR","reserve (no harvest)","pulpwood",80,192.434
"AR","reserve (no harvest)","pulpwood",90,179.968
"AR","reserve (no harvest)","pulpwood",100,169.862
"AR","reserve (no harvest)","residue",0,322.364
"AR","reserve (no harvest)","residue",10,360.848
"AR","reserve (no harvest)","residue",20,384.712
"AR","reserve (no harvest)","residue",30,392.829
"AR","reserve (no harvest)","residue",40,386.288
"AR","reserve (no harvest)","residue",50,373.532
"AR","reserve (no harvest)","residue",60,356.473
"AR","reserve (no harvest)","residue",70,339.379
"AR","reserve (no harvest)","residue",80,321.832
"AR","reserve (no harvest)","residue",90,300.531
"AR","reserve (no harvest)","residue",100,283.157
"AZ","reserve (no harvest)","sawtimber",0,27.118
"AZ","reserve (no harvest)","sawtimber",10,29.475
"AZ","reserve (no harvest)","sawtimber",20,30.738
"AZ","reserve (no harvest)","sawtimber",30,31.21
"AZ","reserve (no harvest)","sawtimber",40,31.418
"AZ","reserve (no harvest)","sawtimber",50,31.485
"AZ","reserve (no harvest)","sawtimber",60,31.68
"AZ","reserve (no harvest)","sawtimber",70,31.539
"AZ","reserve (no harvest)","sawtimber",80,31.28
"AZ","reserve (no harvest)","sawtimber",90,30.868
"AZ","reserve (no harvest)","sawtimber",100,30.403
"AZ","reserve (no harvest)","pulpwood",0,28.848
"AZ","reserve (no harvest)","pulpwood",10,29.713
"AZ","reserve (no harvest)","pulpwood",20,30.739
"AZ","reserve (no harvest)","pulpwood",30,31.296
"AZ","reserve (no harvest)","pulpwood",40,31.625
"AZ","reserve (no harvest)","pulpwood",50,31.707
"AZ","reserve (no harvest)","pulpwood",60,31.504
"AZ","reserve (no harvest)","pulpwood",70,31.312
"AZ","reserve (no harvest)","pulpwood",80,31.012
"AZ","reserve (no harvest)","pulpwood",90,30.631
"AZ","reserve (no harvest)","pulpwood",100,30.192
"AZ","reserve (no harvest)","residue",0,150.469
"AZ","reserve (no harvest)","residue",10,157.385
"AZ","reserve (no harvest)","residue",20,163.418
"AZ","reserve (no harvest)","residue",30,168.87
"AZ","reserve (no harvest)","residue",40,173.282
"AZ","reserve (no harvest)","residue",50,176.791
"AZ","reserve (no harvest)","residue",60,179.365
"AZ","reserve (no harvest)","residue",70,181.42
"AZ","reserve (no harvest)","residue",80,183.074
"AZ","reserve (no harvest)","residue",90,184.392
"AZ","reserve (no harvest)","residue",100,185.392
"CA","reserve (no harvest)","sawtimber",0,514.809
"CA","reserve (no harvest)","sawtimber",10,552.097
"CA","reserve (no harvest)","sawtimber",20,587.924
"CA","reserve (no harvest)","sawtimber",30,617.756
"CA","reserve (no harvest)","sawtimber",40,643.962
"CA","reserve (no harvest)","sawtimber",50,662.425
"CA","reserve (no harvest)","sawtimber",60,679.41
"CA","reserve (no harvest)","sawtimber",70,696.098
"CA","reserve (no harvest)","sawtimber",80,707.013
"CA","reserve (no harvest)","sawtimber",90,714.446
"CA","reserve (no harvest)","sawtimber",100,719.971
"CA","reserve (no harvest)","pulpwood",0,124.096
"CA","reserve (no harvest)","pulpwood",10,130.008
"CA","reserve (no harvest)","pulpwood",20,131.928
"CA","reserve (no harvest)","pulpwood",30,132.382
"CA","reserve (no harvest)","pulpwood",40,132.519
"CA","reserve (no harvest)","pulpwood",50,133.067
"CA","reserve (no harvest)","pulpwood",60,132.22
"CA","reserve (no harvest)","pulpwood",70,129.077
"CA","reserve (no harvest)","pulpwood",80,128.773
"CA","reserve (no harvest)","pulpwood",90,129.296
"CA","reserve (no harvest)","pulpwood",100,129.585
"CA","reserve (no harvest)","residue",0,400.692
"CA","reserve (no harvest)","residue",10,420.41
"CA","reserve (no harvest)","residue",20,434.582
"CA","reserve (no harvest)","residue",30,446.037
"CA","reserve (no harvest)","residue",40,453.057
"CA","reserve (no harvest)","residue",50,460.379
"CA","reserve (no harvest)","residue",60,466.03
"CA","reserve (no harvest)","residue",70,469.99
"CA","reserve (no harvest)","residue",80,473.354
"CA","reserve (no harvest)","residue",90,476.558
"CA","reserve (no harvest)","residue",100,478.619
"CO","reserve (no harvest)","sawtimber",0,125.54
"CO","reserve (no harvest)","sawtimber",10,136.053
"CO","reserve (no harvest)","sawtimber",20,143.87
"CO","reserve (no harvest)","sawtimber",30,148.844
"CO","reserve (no harvest)","sawtimber",40,151.961
"CO","reserve (no harvest)","sawtimber",50,154.413
"CO","reserve (no harvest)","sawtimber",60,156.038
"CO","reserve (no harvest)","sawtimber",70,158.852
"CO","reserve (no harvest)","sawtimber",80,158.379
"CO","reserve (no harvest)","sawtimber",90,156.474
"CO","reserve (no harvest)","sawtimber",100,154.212
"CO","reserve (no harvest)","pulpwood",0,93.435
"CO","reserve (no harvest)","pulpwood",10,97.973
"CO","reserve (no harvest)","pulpwood",20,103.006
"CO","reserve (no harvest)","pulpwood",30,109.308
"CO","reserve (no harvest)","pulpwood",40,112.739
"CO","reserve (no harvest)","pulpwood",50,112.922
