"prov","ft","n","p_dist_ann","sev","fire_share","insect_share"
"6.2.11","Alder/maple",52,0.02187,0.3797,0.577,0.071
"6.2.5","Alder/maple",51,0.03695,0.3201,0.073,0.281
"6.2.7","Alder/maple",150,0.0193,0.3135,0.142,0.107
"7.1.7","Alder/maple",60,0.01723,0.3285,0.032,0.125
"7.1.8","Alder/maple",427,0.01406,0.3107,0.036,0.032
"7.1.9","Alder/maple",20,0.01724,0.3111,0.118,0.082
"0.0.0","Aspen/birch",311,0.0083,0.2917,0.017,0.276
"10.1.5","Aspen/birch",22,0.01026,0.2934,0.204,0.173
"10.1.6","Aspen/birch",19,0.01735,0.3545,0.101,0.417
"13.1.1","Aspen/birch",50,0.01767,0.3364,0.596,0.175
"5.2.1","Aspen/birch",22695,0.00777,0.2858,0.025,0.295
"5.2.2","Aspen/birch",2891,0.00873,0.3574,0.036,0.394
"5.3.1","Aspen/birch",1313,0.01401,0.2496,0.002,0.119
"5.3.3","Aspen/birch",75,0.01567,0.222,0.017,0.334
"6.2.10","Aspen/birch",272,0.04017,0.3598,0.063,0.528
"6.2.13","Aspen/birch",600,0.02094,0.4635,0.171,0.445
"6.2.14","Aspen/birch",1294,0.04057,0.4087,0.059,0.574
"6.2.15","Aspen/birch",25,0.03862,0.4346,0.391,0.408
"6.2.3","Aspen/birch",51,0.03217,0.3307,0.13,0.329
"6.2.4","Aspen/birch",24,0.02553,0.4101,0.261,0.289
"6.2.5","Aspen/birch",16,0.04463,0.3124,0.124,0.453
"8.1.1","Aspen/birch",80,0.01472,0.249,0.005,0.238
"8.1.10","Aspen/birch",16,0.02548,0.2295,0.002,0.335
"8.1.3","Aspen/birch",87,0.01247,0.2242,0.003,0.399
"8.1.4","Aspen/birch",1559,0.00864,0.2862,0.007,0.216
"8.1.5","Aspen/birch",214,0.01968,0.2665,0.011,0.255
"8.1.6","Aspen/birch",95,0.01616,0.2938,0.02,0.646
"8.1.7","Aspen/birch",37,0.01119,0.2365,0.005,0.491
"8.1.8","Aspen/birch",1005,0.00883,0.2502,0.002,0.432
"8.2.1","Aspen/birch",16,0.01813,0.3099,0.004,0.478
"8.2.2","Aspen/birch",94,0.0282,0.3178,0.003,0.682
"8.4.1","Aspen/birch",35,0.01218,0.241,0.1,0.452
"8.4.2","Aspen/birch",28,0.01818,0.219,0.072,0.414
"8.4.3","Aspen/birch",53,0.02857,0.2298,0.009,0.379
"9.2.1","Aspen/birch",74,0.03246,0.2749,0.05,0.103
"9.2.2","Aspen/birch",219,0.01689,0.314,0.142,0.027
"11.1.1","California mixed conifer",40,0.0357,0.3678,0.372,0.054
"6.2.11","California mixed conifer",714,0.02877,0.3689,0.57,0.055
"6.2.12","California mixed conifer",1141,0.03595,0.3325,0.251,0.064
"6.2.7","California mixed conifer",34,0.02809,0.3203,0.276,0.053
"6.2.8","California mixed conifer",209,0.02867,0.2855,0.246,0.088
"10.1.2","Douglas-fir",49,0.03563,0.3051,0.149,0.345
"10.1.6","Douglas-fir",68,0.00959,0.3158,0.125,0.344
"10.1.8","Douglas-fir",16,0.04065,0.3834,0.172,0.596
"13.1.1","Douglas-fir",342,0.0172,0.3421,0.55,0.208
"6.2.10","Douglas-fir",1714,0.04165,0.3592,0.053,0.66
"6.2.11","Douglas-fir",925,0.02224,0.3629,0.504,0.09
"6.2.13","Douglas-fir",214,0.02022,0.4508,0.147,0.494
"6.2.14","Douglas-fir",732,0.03545,0.3638,0.063,0.631
"6.2.15","Douglas-fir",1068,0.03899,0.4398,0.376,0.425
"6.2.3","Douglas-fir",2672,0.03189,0.3258,0.115,0.337
"6.2.4","Douglas-fir",157,0.02368,0.41,0.22,0.303
"6.2.5","Douglas-fir",784,0.0408,0.3086,0.125,0.387
"6.2.7","Douglas-fir",3684,0.02049,0.311,0.145,0.105
"6.2.8","Douglas-fir",319,0.0415,0.256,0.078,0.247
"6.2.9","Douglas-fir",925,0.03245,0.2843,0.153,0.228
"7.1.7","Douglas-fir",204,0.01817,0.3206,0.035,0.131
"7.1.8","Douglas-fir",2238,0.0147,0.3078,0.059,0.038
"7.1.9","Douglas-fir",144,0.01712,0.2984,0.1,0.085
"9.3.3","Douglas-fir",41,0.03971,0.328,0.145,0.352
"0.0.0","Elm/ash/cottonwood",123,0.00998,0.2877,0.014,0.305
"13.1.1","Elm/ash/cottonwood",12,0.01185,0.3028,0.213,0.363
"5.2.1","Elm/ash/cottonwood",4528,0.00809,0.2825,0.02,0.296
"5.2.2","Elm/ash/cottonwood",632,0.00863,0.3568,0.033,0.404
"5.3.1","Elm/ash/cottonwood",215,0.01422,0.2513,0.005,0.165
"5.3.3","Elm/ash/cottonwood",31,0.01376,0.2155,0.039,0.44
"6.2.14","Elm/ash/cottonwood",15,0.03162,0.3378,0.051,0.642
"6.2.3","Elm/ash/cottonwood",19,0.03038,0.3173,0.147,0.279
"6.2.4","Elm/ash/cottonwood",12,0.0234,0.3835,0.218,0.28
"8.1.1","Elm/ash/cottonwood",210,0.01387,0.2599,0.007,0.256
"8.1.10","Elm/ash/cottonwood",67,0.0235,0.233,0.002,0.35
"8.1.3","Elm/ash/cottonwood",54,0.01548,0.2234,0.006,0.341
"8.1.4","Elm/ash/cottonwood",954,0.00891,0.2889,0.006,0.212
"8.1.5","Elm/ash/cottonwood",373,0.02838,0.2884,0.008,0.245
"8.1.6","Elm/ash/cottonwood",331,0.01853,0.302,0.012,0.711
"8.1.7","Elm/ash/cottonwood",188,0.01204,0.2397,0.006,0.506
"8.1.8","Elm/ash/cottonwood",204,0.00816,0.2516,0.003,0.476
"8.2.1","Elm/ash/cottonwood",87,0.01917,0.3115,0.003,0.525
"8.2.2","Elm/ash/cottonwood",147,0.02692,0.3133,0.005,0.726
"8.2.3","Elm/ash/cottonwood",30,0.01843,0.2605,0.015,0.493
"8.2.4","Elm/ash/cottonwood",152,0.03388,0.2602,0.004,0.49
"8.3.1","Elm/ash/cottonwood",36,0.01091,0.2643,0.034,0.447
"8.3.2","Elm/ash/cottonwood",564,0.02109,0.2264,0.013,0.094
"8.3.3","Elm/ash/cottonwood",492,0.0145,0.2263,0.025,0.363
"8.3.4","Elm/ash/cottonwood",903,0.00632,0.229,0.338,0.16
"8.3.5","Elm/ash/cottonwood",1252,0.0116,0.2388,0.332,0.054
"8.3.6","Elm/ash/cottonwood",248,0.00958,0.2317,0.176,0.078
"8.3.7","Elm/ash/cottonwood",513,0.00753,0.2519,0.241,0.017
"8.3.8","Elm/ash/cottonwood",130,0.01095,0.4151,0.075,0.005
"8.4.1","Elm/ash/cottonwood",165,0.01116,0.2412,0.124,0.44
"8.4.2","Elm/ash/cottonwood",84,0.01424,0.2175,0.145,0.452
"8.4.3","Elm/ash/cottonwood",294,0.02808,0.2332,0.01,0.412
"8.4.4","Elm/ash/cottonwood",29,0.0144,0.2457,0.181,0.482
