"state","cell_key","ft_group","prov_code","n_plots","Astar","Astar_src"
"ME","Aspen/birch|5.3.1","Aspen/birch","5.3.1",645,175,"cell"
"ME","Aspen/birch|8.1.7","Aspen/birch","8.1.7",22,135,"ft"
"ME","Aspen/birch|8.1.8","Aspen/birch","8.1.8",1082,135,"cell"
"ME","Elm/ash/cottonwood|5.3.1","Elm/ash/cottonwood","5.3.1",45,55,"cell"
"ME","Elm/ash/cottonwood|8.1.7","Elm/ash/cottonwood","8.1.7",67,115,"cell"
"ME","Elm/ash/cottonwood|8.1.8","Elm/ash/cottonwood","8.1.8",247,155,"cell"
"ME","Exotic softwoods|5.3.1","Exotic softwoods","5.3.1",1,45,"ft"
"ME","Exotic softwoods|8.1.8","Exotic softwoods","8.1.8",17,45,"ft"
"ME","Loblolly/shortleaf pine|5.3.1","Loblolly/shortleaf pine","5.3.1",3,200,"state"
"ME","Loblolly/shortleaf pine|8.1.8","Loblolly/shortleaf pine","8.1.8",1,200,"state"
"ME","Maple/beech/birch|5.3.1","Maple/beech/birch","5.3.1",2522,200,"cell"
"ME","Maple/beech/birch|8.1.7","Maple/beech/birch","8.1.7",103,85,"cell"
"ME","Maple/beech/birch|8.1.8","Maple/beech/birch","8.1.8",2587,165,"cell"
"ME","Oak/hickory|5.3.1","Oak/hickory","5.3.1",51,85,"cell"
"ME","Oak/hickory|8.1.7","Oak/hickory","8.1.7",79,95,"cell"
"ME","Oak/hickory|8.1.8","Oak/hickory","8.1.8",87,95,"cell"
"ME","Oak/pine|5.3.1","Oak/pine","5.3.1",62,95,"cell"
"ME","Oak/pine|8.1.7","Oak/pine","8.1.7",55,95,"cell"
"ME","Oak/pine|8.1.8","Oak/pine","8.1.8",148,175,"cell"
"ME","Spruce/fir|5.3.1","Spruce/fir","5.3.1",2415,135,"cell"
"ME","Spruce/fir|8.1.7","Spruce/fir","8.1.7",1,135,"ft"
"ME","Spruce/fir|8.1.8","Spruce/fir","8.1.8",2661,175,"cell"
"ME","White/red/jack pine|5.3.1","White/red/jack pine","5.3.1",176,185,"cell"
"ME","White/red/jack pine|8.1.7","White/red/jack pine","8.1.7",85,65,"cell"
"ME","White/red/jack pine|8.1.8","White/red/jack pine","8.1.8",623,165,"cell"
"ME","Woodland hardwoods|5.3.1","Woodland hardwoods","5.3.1",19,75,"ft"
"ME","Woodland hardwoods|8.1.8","Woodland hardwoods","8.1.8",37,75,"ft"
"MN","Aspen/birch|0.0.0","Aspen/birch","0.0.0",104,85,"cell"
"MN","Aspen/birch|5.2.1","Aspen/birch","5.2.1",13617,185,"cell"
"MN","Aspen/birch|5.2.2","Aspen/birch","5.2.2",3590,125,"cell"
"MN","Aspen/birch|8.1.4","Aspen/birch","8.1.4",958,75,"cell"
"MN","Aspen/birch|8.1.5","Aspen/birch","8.1.5",74,65,"cell"
"MN","Aspen/birch|9.2.2","Aspen/birch","9.2.2",875,95,"cell"
