"state","n_plots","Astar","CR","PD","HYB","PDA"
"AL",23492,115,20145,20784,20883,20680
"AR",20595,115,20763,21417,21318,21311
"AZ",9361,105,NA,21648,20130,21798
"CA",7076,200,NA,77977,71205,79786
"CO",6692,125,24587,26368,24472,26542
"CT",900,145,26639,27493,NA,27515
"DE",378,115,27935,29555,28915,29868
"FL",22826,175,26170,27808,26114,28061
"GA",38172,125,23986,24939,23986,25052
"IA",1780,95,23820,24784,23725,25020
"ID",6673,115,35907,37998,35720,38324
"IL",4659,200,26597,27579,26597,27531
"IN",5437,155,28211,29032,28211,29084
"KS",3094,115,17886,18869,18030,18814
"KY",5898,105,27238,27974,27441,28140
"LA",11885,135,21982,22830,25200,22636
"MA",1544,165,27523,28434,27475,28512
"MD",1363,95,32509,33538,32433,33946
"ME",13841,200,20211,21165,20212,21272
"MI",39007,200,23441,24599,23442,24554
"MN",44317,200,18441,19461,18455,19492
"MO",14568,155,19512,19974,19774,19985
"MS",17066,115,24561,25580,27541,25337
"MT",7611,185,26492,28256,26477,28551
"NC",24300,145,25603,26584,25760,26541
"ND",739,135,NA,16842,15726,17050
"NE",1144,115,19712,20778,19726,20787
"NH",3099,125,25747,26518,25747,26697
"NJ",1588,155,28503,29498,28166,29624
"NM",7489,115,18123,19407,18082,19568
"NV",4227,175,9805,10211,9834,10340
"NY",9820,145,26640,27844,26641,27790
"OH",3307,135,28105,29049,28105,29618
"OK",6296,95,17317,17916,18261,18166
"OR",15801,195,NA,80456,75601,84633
"PA",9045,175,28676,29590,28923,29723
"RI",306,125,28266,28959,NA,28894
"SC",24888,125,25930,27061,25930,27444
"SD",1545,200,NA,17337,16563,17504
"TN",12697,155,NA,25572,NA,25856
"TX",21542,185,26260,29821,26767,29841
"UT",7980,105,NA,18564,17390,18595
"VA",21476,155,25285,26041,25287,26007
"VT",2882,145,24021,24722,23882,24770
"WA",8353,175,NA,71064,66714,76822
"WI",30584,200,21886,22927,21886,22946
"WV",6061,165,30059,30874,30058,30870
"WY",3086,200,22820,24699,22737,25321
