"state","n","reserved_share"
"AL",26959,0.0022
"AZ",11520,0.0751
"AR",23381,0.0213
"CA",10957,0.1686
"CO",9018,0.1185
"CT",1195,0.0159
"DE",427,0.0304
"FL",26467,0.0229
"GA",44671,0.0084
"ID",9703,0.1514
"IL",5114,0.0636
"IN",6257,0.0471
"IA",2105,0.0637
"KS",3324,0.0123
"KY",7646,0.0192
"LA",14587,0.0093
"ME",17649,0.0242
"MD",1614,0.1035
"MA",2188,0.042
"MI",43456,0.0467
"MN",50011,0.045
"MS",20496,0.0051
"MO",16334,0.0377
"MT",11264,0.1392
"NE",1286,0.0272
"NV",5005,0.1315
"NH",4667,0.0641
"NJ",1827,0.1084
"NM",9702,0.0695
"NY",12324,0.1435
"NC",27414,0.0143
"ND",875,0.072
"OH",4665,0.0469
"OK",7328,0.015
"OR",21627,0.0551
"PA",10965,0.0452
"RI",408,0.0245
"SC",27956,0.0053
"SD",1981,0.0146
"TN",13748,0.0268
"TX",25244,0.009
"UT",9352,0.0993
"VT",4411,0.0623
"VA",23525,0.0182
"WA",11821,0.0805
"WV",7373,0.0444
"WI",34733,0.025
"WY",4171,0.2848
