level,key,n_plots,cspi_mean,cspi_sd,cspi_scalar
cell,Alder/maple|11.1.1,7,60.60147,5.89105,1.07531
cell,Alder/maple|11.1.3,2,58.14740,0.00000,1.03176
cell,Alder/maple|6.2.11,74,63.97586,6.98068,1.13518
cell,Alder/maple|6.2.12,4,64.21818,2.83955,1.13948
cell,Alder/maple|6.2.3,11,55.77972,3.85707,0.98975
cell,Alder/maple|6.2.5,100,67.42657,4.27646,1.19641
cell,Alder/maple|6.2.7,233,70.10532,2.35363,1.24394
cell,Alder/maple|6.2.8,4,59.86569,3.83640,1.06225
cell,Alder/maple|6.2.9,1,61.84761,0.00000,1.09742
cell,Alder/maple|7.1.7,208,69.22760,2.93770,1.22837
cell,Alder/maple|7.1.8,732,72.29416,2.19914,1.28278
cell,Alder/maple|7.1.9,94,70.95146,2.79930,1.25896
cell,Aspen/birch|0.0.0,430,49.26848,4.20847,0.87422
cell,Aspen/birch|10.1.2,10,52.33231,5.56243,0.92858
cell,Aspen/birch|10.1.3,155,48.01442,2.59095,0.85196
cell,Aspen/birch|10.1.4,40,44.53377,2.12306,0.79020
cell,Aspen/birch|10.1.5,83,45.84248,3.51636,0.81342
cell,Aspen/birch|10.1.6,94,47.02557,2.07107,0.83442
cell,Aspen/birch|10.1.7,2,50.26497,0.51148,0.89190
cell,Aspen/birch|10.1.8,19,49.10822,2.89677,0.87137
cell,Aspen/birch|12.1.1,6,50.51828,2.35002,0.89639
cell,Aspen/birch|13.1.1,105,53.44551,3.93604,0.94833
cell,Aspen/birch|5.2.1,27446,47.09015,3.30303,0.83556
cell,Aspen/birch|5.2.2,3890,43.09566,1.10379,0.76469
cell,Aspen/birch|5.3.1,1477,50.58613,4.45556,0.89760
cell,Aspen/birch|5.3.3,108,61.58127,1.90804,1.09269
cell,Aspen/birch|6.2.10,486,47.53313,2.77260,0.84342
cell,Aspen/birch|6.2.11,3,55.19649,0.00000,0.97940
cell,Aspen/birch|6.2.12,18,53.52797,3.77265,0.94980
cell,Aspen/birch|6.2.13,880,48.57729,2.86431,0.86195
cell,Aspen/birch|6.2.14,1701,49.29710,3.27048,0.87472
cell,Aspen/birch|6.2.15,84,48.58347,4.65729,0.86206
cell,Aspen/birch|6.2.3,75,55.28862,3.37098,0.98104
cell,Aspen/birch|6.2.4,74,50.14281,2.76775,0.88973
cell,Aspen/birch|6.2.5,27,51.65847,5.95815,0.91662
cell,Aspen/birch|6.2.7,2,58.87071,3.34940,1.04460
cell,Aspen/birch|6.2.8,23,52.92502,4.22787,0.93910
cell,Aspen/birch|6.2.9,4,56.19043,3.29157,0.99704
cell,Aspen/birch|7.1.7,14,68.08962,1.11047,1.20818
cell,Aspen/birch|8.1.1,154,58.65929,3.64849,1.04085
cell,Aspen/birch|8.1.10,64,63.93965,2.20356,1.13454
cell,Aspen/birch|8.1.3,130,60.26868,2.66081,1.06940
cell,Aspen/birch|8.1.4,2591,53.29804,4.99946,0.94572
cell,Aspen/birch|8.1.5,359,62.19989,2.01273,1.10367
